eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
2228;0;Online;False;8;0;0;2016-04-23
2219;2500;Online;False;8;5000;5000;2016-04-23
2200;0;Online;False;12;0;0;2016-04-23
2222;0;Online;False;4;0;0;2016-04-21
2119;0;Online;False;32;20000;20000;2016-01-18
2221;0;Online;False;8;0;0;2016-04-20
2217;0;Online;False;0;0;0;2016-04-19
2099;100000;Intl. LAN;False;16;250000;250000;2016-04-17
2216;0;Online;False;4;0;0;2016-04-14
2209;0;Online;False;0;0;0;2016-04-10
2210;0;Online;False;4;0;0;2016-04-10
2204;0;Online;False;0;0;0;2016-04-10
2179;4562;Reg. LAN;False;6;9600;9600;2016-04-10
2202;0;Online;False;12;0;0;2016-04-09
1979;0;Online;False;16;3000;3000;2015-10-16
2201;0;Intl. LAN;False;2;0;0;2016-04-03
2027;500000;Major;False;16;1000000;1000000;2016-04-03
2195;0;Other;False;0;0;0;2016-03-28
2197;0;Online;False;16;0;0;2016-03-27
2193;3909;Intl. LAN;True;18;7800;7800;2016-03-26
2059;18985;Intl. LAN;False;16;33600;33600;2016-03-26
2191;0;Intl. LAN;False;60;0;0;2016-03-24
2185;0;Online;False;8;5000;5000;2016-03-23
2174;0;Online;False;16;0;0;2016-03-20
2183;536;Reg. LAN;False;8;1550;1550;2016-03-20
2168;10000;Online;False;10;16000;16000;2016-03-20
2180;1126;Local LAN;False;8;1700;1700;2016-03-20
2166;2624;Local LAN;False;8;6500;6500;2016-03-20
2184;0;Online;False;500;0;0;2016-03-19
2034;40000;Intl. LAN;False;8;80000;80000;2016-03-18
2172;100000;Online;False;16;0;250000;2016-03-13
2170;0;Online;False;16;0;0;2016-03-13
2175;0;Online;False;16;0;0;2016-03-12
2171;100000;Online;False;100;0;250000;2016-03-12
2169;1796;Local LAN;False;2;2500;2500;2016-03-12
2164;0;Online;False;23;0;0;2016-03-11
2163;0;Online;False;8;2000;2000;2016-03-07
2162;15000;Intl. LAN;False;8;30000;30000;2016-03-06
2036;104000;Intl. LAN;False;12;250000;250000;2016-03-05
2042;0;Online;False;24;80000;80000;2015-11-30
2148;13680;Intl. LAN;False;8;22000;22000;2016-02-28
2071;0;Intl. LAN;False;16;0;0;2016-02-28
2128;0;Online;False;183;250000;250000;2016-02-26
2159;5626;Online;False;32;10000;10000;2016-02-25
2152;0;Online;False;16;125000;125000;2016-02-25
2157;158;Online;False;8;200;200;2016-02-24
2147;4459;Online;False;8;9000;9000;2016-02-24
2133;5582;Online;False;16;10000;10000;2016-02-23
2155;0;Online;False;16;0;0;2016-02-22
2145;0;Online;False;8;2800;2800;2016-02-22
2144;300;Online;False;8;2500;2500;2016-02-22
2156;750;Local LAN;False;2;1500;1500;2016-02-21
2154;1586;Local LAN;False;2;4200;4200;2016-02-21
2149;0;Reg. LAN;False;16;14000;14000;2016-02-21
2100;35624;Intl. LAN;False;8;83490;83490;2016-02-21
2137;0;Online;False;4;0;0;2016-02-19
2033;0;Online;False;16;15000;15000;2016-02-19
2146;555;Other;False;4;1000;1000;2016-02-16
2141;0;Online;False;16;0;0;2016-02-16
2140;0;Online;False;16;0;0;2016-02-15
2143;0;Online;False;10;250000;250000;2016-02-14
2142;1259;Local LAN;False;4;0;0;2016-02-14
1958;20000;Intl. LAN;False;8;40000;40000;2016-02-14
2129;0;Online;False;16;0;0;2016-02-11
2136;1039;Online;True;8;1500;1500;2016-02-09
2139;2536;Local LAN;False;4;3600;3600;2016-02-07
2138;1039;Online;False;8;1500;1500;2016-02-07
2013;80000;Intl. LAN;False;8;200000;200000;2016-02-07
2070;0;Reg. LAN;False;8;0;0;2016-02-07
2102;8600;Reg. LAN;False;8;16100;16100;2016-02-06
2134;0;Online;False;2;0;0;2016-02-04
2063;30000;Reg. LAN;False;8;50000;50000;2016-02-01
2064;30000;Reg. LAN;False;8;50000;50000;2016-01-31
2126;2000;Online;False;8;3000;3000;2016-01-29
2125;1500;Online;False;4;2000;2000;2016-01-26
2069;0;Reg. LAN;False;8;0;0;2016-01-24
2077;30000;Reg. LAN;False;8;50000;50000;2016-01-24
1977;50000;Intl. LAN;False;8;100000;100000;2016-01-24
2106;0;Online;False;16;0;0;2016-01-21
1959;14376;Online;False;17;40000;40000;2015-10-05
2121;1500;Other;False;4;0;0;2016-01-20
2117;0;Other;False;15;0;0;2016-01-20
2113;0;Other;False;8;0;0;2016-01-20
2123;0;Other;False;4;0;0;2016-01-19
2115;0;Reg. LAN;False;8;0;0;2016-01-18
2118;0;Other;False;4;0;0;2016-01-17
2116;0;Other;False;4;0;0;2016-01-17
2068;30000;Reg. LAN;False;7;50000;50000;2016-01-17
1978;90000;Intl. LAN;False;8;200000;200000;2016-01-17
2108;0;Other;False;2;0;0;2016-01-17
2114;0;Other;False;4;0;0;2016-01-16
2111;0;Other;False;2;0;0;2016-01-16
2107;0;Other;False;8;0;0;2016-01-15
